Rank,Team,GM,W-L,FGM,FGA,FG%
40,Louisville (ACC),31,23-8,866,"1,847",46.9
41,FIU (C-USA),32,13-19,834,"1,779",46.9
42,Marquette (Big East),33,20-13,884,"1,888",46.8
43,Stony Brook (America East),33,26-7,933,"1,993",46.8
44,Oregon (Pac-12),38,31-7,"1,041","2,230",46.7
45,South Dakota (Summit League),32,14-18,912,"1,954",46.7
46,Siena (MAAC),34,21-13,929,"1,992",46.6
47,Butler (Big East),33,22-11,918,"1,969",46.6
48,Marshall (C-USA),33,17-16,"1,017","2,183",46.6
49,Baylor (Big 12),34,22-12,933,"2,003",46.6
50,Houston (AAC),32,22-10,897,"1,926",46.6
51,Montana (Big Sky),33,21-12,841,"1,807",46.5
52,UTEP (C-USA),33,19-14,896,"1,926",46.5
53,New Mexico (Mountain West),32,17-15,829,"1,782",46.5
54,Detroit Mercy (Horizon),31,16-15,898,"1,931",46.5
55,Bucknell (Patriot),31,17-14,831,"1,788",46.5
56,Florida St. (ACC),34,20-14,948,"2,042",46.4
57,Princeton (Ivy League),29,22-7,801,"1,727",46.4
58,BYU (WCC),37,26-11,"1,096","2,369",46.3
59,New Mexico St. (WAC),34,23-11,887,"1,918",46.2
60,Michigan (Big Ten),36,23-13,947,"2,048",46.2
61,Purdue Fort Wayne (Summit League),34,24-10,932,"2,017",46.2
62,Duquesne (Atlantic 10),34,17-17,950,"2,056",46.2
63,Austin Peay (OVC),36,18-18,945,"2,049",46.1
64,ETSU (SoCon),36,24-12,984,"2,135",46.1
65,Duke (ACC),36,25-11,983,"2,135",46
66,Toledo (MAC),32,17-15,865,"1,881",46
67,LSU (SEC),33,19-14,915,"1,990",46
68,Southern California (Pac-12),34,21-13,982,"2,137",46
69,California (Pac-12),34,23-11,890,"1,937",45.9
70,UC Irvine (Big West),38,28-10,977,"2,128",45.9
71,Hawaii (Big West),34,28-6,893,"1,947",45.9
72,Albany (NY) (America East),33,24-9,848,"1,850",45.8
73,Oakland (Horizon),35,23-12,"1,002","2,186",45.8
