Team,Games,Wins,Losses,Win Pct,PPG,OPP PPG,SCR MAR,RPG,OPP RPG,REB MAR,FGMPG,FGAPG,FG%,FTPG,FTAPG,FT%,3FGPG,3FGAPG,3FG%,OPP FGPG,OPP FGAPG,OPP FG%,AST,ASTPG,TO,TOPG,AST/TO Ratio,OPP 3FGAPG,OPP 3FGPG,OPP 3FG%
Jacksonville St. (OVC),27,18,9,66.7,74.3,68.6,5.7,38.8,33.9,4.9,26.78,58.07,46.1,12.59,18.37,68.5,8.11,22.81,35.6,24.96,60.81,41.0,383,14.19,360,13.33,1.06,25.41,8.33,32.8
Tennessee (SEC),27,18,9,66.7,71.9,63.5,8.4,35.9,34.0,1.9,25.26,57.59,43.9,14.78,19.81,74.6,6.59,19.96,33.0,22.19,55.26,40.1,401,14.85,338,12.52,1.19,21.0,6.81,32.5
UC Irvine (Big West),27,18,9,66.7,72.2,63.4,8.8,39.6,31.9,7.7,27.0,59.81,45.1,13.33,17.56,75.9,4.89,14.44,33.8,22.33,57.74,38.7,319,11.81,350,12.96,0.91,23.11,7.56,32.7
Clemson (ACC),24,16,8,66.7,64.9,61.9,3.0,32.6,32.8,-0.2,23.42,55.13,42.5,9.83,12.79,76.9,8.25,23.92,34.5,22.04,52.71,41.8,319,13.29,303,12.63,1.05,21.58,7.21,33.4
Eastern Wash. (Big Sky),24,16,8,66.7,78.3,70.4,7.9,35.5,34.5,1.1,27.79,59.38,46.8,14.21,17.96,79.1,8.5,23.92,35.5,25.71,61.63,41.7,365,15.21,277,11.54,1.32,22.04,6.92,31.4
Saint Louis (Atlantic 10),21,14,7,66.7,75.0,65.4,9.6,38.6,29.7,8.9,27.9,60.43,46.2,12.67,18.0,70.4,6.52,18.76,34.8,22.24,53.05,41.9,369,17.57,255,12.14,1.45,20.24,6.81,33.6
Iona (MAAC),18,12,6,66.7,71.3,66.1,5.2,36.9,32.2,4.7,24.78,56.11,44.2,14.39,19.33,74.4,7.33,21.17,34.6,21.56,53.5,40.3,245,13.61,282,15.67,0.87,20.06,6.06,30.2
Jackson St. (SWAC),18,12,6,66.7,65.6,62.8,2.8,36.8,35.1,1.8,22.06,55.78,39.5,15.94,23.44,68.0,5.56,16.33,34.0,21.39,54.33,39.4,190,10.56,272,15.11,0.7,15.39,4.67,30.3
Vermont (America East),15,10,5,66.7,73.0,63.4,9.6,34.9,31.1,3.8,25.53,55.2,46.3,14.2,18.2,78.0,7.73,22.47,34.4,22.0,54.0,40.7,211,14.07,183,12.2,1.15,21.6,6.73,31.2
LSU (SEC),29,19,10,65.5,81.8,75.2,6.6,38.4,37.8,0.6,28.83,62.86,45.9,16.03,21.38,75.0,8.07,23.24,34.7,26.66,63.59,41.9,351,12.1,329,11.34,1.07,27.97,8.38,30.0
West Virginia (Big 12),29,19,10,65.5,77.3,72.0,5.3,37.9,35.3,2.6,26.52,61.83,42.9,16.86,23.45,71.9,7.45,20.45,36.4,26.52,59.34,44.7,407,14.03,348,12.0,1.17,22.52,7.55,33.5
Arizona (Pac-12),26,17,9,65.4,75.4,68.6,6.8,38.3,31.2,7.1,25.65,57.38,44.7,17.42,23.96,72.7,6.69,18.0,37.2,24.27,56.54,42.9,403,15.5,309,11.88,1.3,20.73,7.08,34.1
Georgia Tech (ACC),26,17,9,65.4,74.9,70.0,4.9,30.3,34.2,-4.0,27.77,58.19,47.7,12.0,16.54,72.6,7.38,21.19,34.8,25.69,55.96,45.9,412,15.85,290,11.15,1.42,19.73,7.27,36.8
Louisiana (Sun Belt),26,17,9,65.4,74.4,72.8,1.6,39.5,34.4,5.1,27.42,61.81,44.4,12.42,17.81,69.8,7.12,20.46,34.8,26.31,62.08,42.4,332,12.77,388,14.92,0.86,19.5,6.5,33.3
Texas Southern (SWAC),26,17,9,65.4,73.9,69.5,4.4,40.9,35.7,5.2,26.73,60.15,44.4,15.92,22.77,69.9,4.5,16.31,27.6,24.08,60.12,40.1,314,12.08,399,15.35,0.79,23.46,7.27,31.0
Akron (MAC),23,15,8,65.2,78.2,72.2,6.0,38.9,36.4,2.5,27.3,61.52,44.4,14.13,18.65,75.8,9.43,28.35,33.3,27.0,62.39,43.3,305,13.26,271,11.78,1.13,21.13,6.57,31.1
Kent St. (MAC),23,15,8,65.2,76.7,71.1,5.6,39.1,33.7,5.4,27.61,62.26,44.3,13.43,17.26,77.8,8.04,24.65,32.6,25.43,60.22,42.2,330,14.35,312,13.57,1.06,23.91,8.26,34.5
Old Dominion (C-USA),23,15,8,65.2,68.3,67.7,0.7,35.9,33.9,2.0,25.48,56.87,44.8,12.43,17.96,69.2,4.91,17.04,28.8,23.78,56.74,41.9,278,12.09,291,12.65,0.96,24.3,8.52,35.1
UConn (Big East),23,15,8,65.2,71.7,64.6,7.2,38.2,33.1,5.1,26.17,60.35,43.4,12.65,17.52,72.2,6.74,20.13,33.5,22.35,54.04,41.4,297,12.91,268,11.65,1.11,18.0,5.83,32.4
James Madison (CAA),20,13,7,65.0,78.1,70.5,7.7,37.4,37.0,0.3,27.15,60.05,45.2,15.5,23.25,66.7,8.3,24.3,34.2,24.0,58.25,41.2,276,13.8,243,12.15,1.14,27.0,8.5,31.5
Louisville (ACC),20,13,7,65.0,68.0,66.5,1.4,38.2,33.5,4.8,24.7,57.3,43.1,13.2,18.4,71.7,5.35,17.35,30.8,24.1,57.05,42.2,221,11.05,229,11.45,0.97,23.15,7.05,30.5
Wagner (NEC),20,13,7,65.0,71.2,68.7,2.5,35.6,32.2,3.4,26.65,60.25,44.2,12.1,16.85,71.8,5.85,18.4,31.8,22.5,51.8,43.4,258,12.9,246,12.3,1.05,20.55,7.1,34.5
