Team,3FGPG,3FGAPG,3FG%
Duquesne (Atlantic 10),8.47,26.28,32.2
Saint Joseph's (Atlantic 10),8.48,26.33,32.2
Memphis (AAC),7.22,22.42,32.2
Georgia (SEC),6.56,20.41,32.2
Bethune-Cookman (MEAC),6.58,20.48,32.1
UTEP (C-USA),6.86,21.38,32.1
Alabama St. (SWAC),6.97,21.71,32.1
Oregon St. (Pac-12),6.55,20.42,32.1
Penn St. (Big Ten),6.94,21.66,32
Prairie View (SWAC),6.43,20.09,32
Akron (MAC),9.00,28.15,32
LMU (CA) (WCC),4.79,15.00,32
UTRGV (WAC),5.49,17.19,31.9
LSU (SEC),6.74,21.14,31.9
N.C. Central (MEAC),6.50,20.38,31.9
Tulane (AAC),6.87,21.61,31.8
Cal St. Fullerton (Big West),5.50,17.32,31.7
Boston College (ACC),7.03,22.16,31.7
Navy (Patriot),6.71,21.16,31.7
Stanford (Pac-12),6.68,21.06,31.7
Minnesota (Big Ten),5.31,16.75,31.7
Valparaiso (MVC),5.61,17.73,31.6
Alabama A&M (SWAC),5.69,18.00,31.6
Jacksonville St. (OVC),6.06,19.18,31.6
West Virginia (Big 12),7.47,23.67,31.6
Western Mich. (MAC),7.13,22.59,31.5
Army West Point (Patriot),8.50,26.97,31.5
Notre Dame (ACC),8.24,26.15,31.5
Stetson (ASUN),6.94,22.06,31.4
Northwestern (Big Ten),7.28,23.28,31.3
Indiana (Big Ten),6.03,19.31,31.2
Rutgers (Big Ten),6.16,19.74,31.2
Vanderbilt (SEC),7.19,23.09,31.1
Maine (America East),6.28,20.22,31.1
George Washington (Atlantic 10),5.94,19.12,31.1
Charlotte (C-USA),6.59,21.21,31.1
Kennesaw St. (ASUN),4.25,13.69,31.1
Mississippi Val. (SWAC),5.38,17.31,31
Wichita St. (AAC),7.46,24.05,31
Portland St. (Big Sky),7.44,24.03,30.9
High Point (Big South),5.81,18.81,30.9
Mount St. Mary's (NEC),7.19,23.32,30.8
Duke (ACC),7.32,23.76,30.8
Wake Forest (ACC),6.35,20.65,30.8
Texas A&M (SEC),6.38,20.72,30.8
Georgia Tech (ACC),5.50,17.91,30.7
McNeese (Southland),5.42,17.68,30.7
Wagner (NEC),7.87,25.77,30.5
Princeton (Ivy League),7.39,24.25,30.5
VCU (Atlantic 10),7.12,23.36,30.5
Saint Louis (Atlantic 10),5.69,18.75,30.4
UT Arlington (Sun Belt),7.09,23.42,30.3
FIU (C-USA),8.21,27.15,30.2
SIUE (OVC),6.48,21.45,30.2
Chicago St. (WAC),4.41,14.72,29.9
Monmouth (MAAC),4.80,16.17,29.7
Delaware St. (MEAC),7.55,25.45,29.7
Ohio (MAC),6.03,20.42,29.5
Eastern Mich. (MAC),5.84,19.81,29.5
Northwestern St. (Southland),6.13,20.84,29.4
Savannah St. (MEAC),11.32,38.68,29.3
Coppin St. (MEAC),7.27,25.48,28.5
East Carolina (AAC),5.00,17.58,28.4
UMES (MEAC),5.38,19.06,28.2
Jackson St. (SWAC),4.84,17.31,28
Rhode Island (Atlantic 10),5.21,18.64,28
