Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
73,Cleveland St. (Horizon),33,22-11,"2,177",66,"1,983",60.1,5.9
74,Purdue (Big Ten),35,22-13,"2,514",71.8,"2,310",66,5.8
75,Manhattan (MAAC),34,21-13,"2,420",71.2,"2,230",65.6,5.6
76,Buffalo (MAC),31,20-11,"2,262",73,"2,090",67.4,5.5
77,Washington (Pac-12),35,24-11,"2,646",75.6,"2,453",70.1,5.5
78,Temple (Atlantic 10),32,24-8,"2,401",75,"2,225",69.5,5.5
79,George Mason (CAA),33,24-9,"2,323",70.4,"2,142",64.9,5.5
80,Oregon (Pac-12),34,24-10,"2,527",74.3,"2,341",68.9,5.5
81,St. Bonaventure (Atlantic 10),32,20-12,"2,254",70.4,"2,081",65,5.4
82,UTSA (Southland),32,18-14,"2,339",73.1,"2,168",67.8,5.3
83,North Texas (Sun Belt),32,18-14,"2,250",70.3,"2,080",65,5.3
84,NC State (ACC),37,24-13,"2,697",72.9,"2,501",67.6,5.3
85,Mercer (ASUN),38,27-11,"2,589",68.1,"2,388",62.8,5.3
86,Nevada (WAC),35,28-7,"2,461",70.3,"2,277",65.1,5.3
87,Robert Morris (NEC),37,26-11,"2,532",68.4,"2,348",63.5,5
88,Michigan (Big Ten),34,24-10,"2,255",66.3,"2,090",61.5,4.9
89,North Dakota St. (Summit League),31,17-14,"2,267",73.1,"2,119",68.4,4.8
90,Notre Dame (AAC),34,22-12,"2,257",66.4,"2,095",61.6,4.8
91,West Virginia (AAC),33,19-14,"2,346",71.1,"2,194",66.5,4.6
92,Detroit Mercy (Horizon),36,22-14,"2,597",72.1,"2,432",67.6,4.6
93,Miami (FL) (ACC),33,20-13,"2,332",70.7,"2,181",66.1,4.6
94,Charleston So. (Big South),31,19-12,"2,383",76.9,"2,242",72.3,4.5
95,Seton Hall (AAC),34,21-13,"2,324",68.4,"2,170",63.8,4.5
96,Massachusetts (Atlantic 10),37,25-12,"2,847",76.9,"2,680",72.4,4.5
97,Colorado (Pac-12),36,24-12,"2,429",67.5,"2,269",63,4.4
98,Princeton (Ivy League),32,20-12,"2,141",66.9,"1,999",62.5,4.4
99,Kent St. (MAC),33,21-12,"2,322",70.4,"2,178",66,4.4
100,San Francisco (WCC),34,20-14,"2,563",75.4,"2,415",71,4.4
101,Mississippi St. (SEC),33,21-12,"2,377",72,"2,236",67.8,4.3
102,Fairfield (MAAC),37,22-15,"2,417",65.3,"2,259",61.1,4.3
103,Savannah St. (MEAC),33,21-12,"2,089",63.3,"1,949",59.1,4.2
104,UConn (AAC),34,20-14,"2,336",68.7,"2,193",64.5,4.2
105,Dayton (Atlantic 10),33,20-13,"2,369",71.8,"2,231",67.6,4.2
105,Cal Poly (Big West),33,18-15,"2,136",64.7,"1,998",60.5,4.2
107,Utah St. (WAC),37,21-16,"2,551",68.9,"2,400",64.9,4.1
108,Saint Joseph's (Atlantic 10),34,20-14,"2,446",71.9,"2,310",67.9,4
