Rank,Team,PPG,OPP PPG,SCR MAR
314,Houston Baptist (Southland),71,80.3,-9.2
315,Denver (Summit League),69.8,79.1,-9.3
316,Cal Poly (Big West),61.5,70.8,-9.4
317,Southeastern La. (Southland),68.3,77.7,-9.4
318,Alcorn (SWAC),66.1,75.6,-9.5
319,Central Ark. (Southland),70.9,80.5,-9.7
320,Washington (Pac-12),67.7,77.4,-9.7
321,Tennessee Tech (OVC),66.6,76.9,-10.3
322,Saint Joseph's (Atlantic 10),72.2,82.6,-10.4
323,Omaha (Summit League),67.3,78,-10.6
324,San Diego (WCC),66.2,77.1,-10.9
325,Iowa St. (Big 12),65.6,76.7,-11.1
326,Northern Ariz. (Big Sky),63.2,74.5,-11.4
327,Maine (America East),53.1,64.6,-11.4
328,UT Martin (OVC),65.5,77,-11.5
329,Howard (MEAC),72.6,84.8,-12.2
330,Air Force (Mountain West),58.7,71.9,-13.2
331,Portland (WCC),69.5,83.2,-13.8
332,Fordham (Atlantic 10),51.8,66.6,-14.8
333,Ark.-Pine Bluff (SWAC),62,76.8,-14.9
334,Delaware St. (MEAC),70.8,85.7,-14.9
335,Northern Ill. (MAC),62.3,77.4,-15.1
336,Idaho (Big Sky),61,76.5,-15.4
337,San Jose St. (Mountain West),65.8,81.3,-15.6
338,South Carolina St. (MEAC),61.2,78.6,-17.3
339,Mississippi Val. (SWAC),56.8,87.4,-30.5
340,Chicago St. (WAC),55.4,88.7,-33.2
