Rank,Team,FGMPG,FGAPG,FG%
261,Saint Mary's (CA) (WCC),23.42,55.46,42.2
262,Northern Ariz. (Big Sky),22.95,54.41,42.2
263,Boston College (ACC),25.00,59.30,42.2
264,Duquesne (Atlantic 10),24.33,57.78,42.1
265,N.C. A&T (MEAC),25.52,60.62,42.1
266,N.C. Central (MEAC),23.79,56.50,42.1
267,UNC Greensboro (SoCon),27.40,65.13,42.1
268,Kennesaw St. (ASUN),23.79,56.63,42
269,Valparaiso (MVC),23.57,56.29,41.9
270,Omaha (Summit League),25.00,59.76,41.8
271,Nebraska (Big Ten),24.85,59.41,41.8
272,Iowa St. (Big 12),24.63,58.88,41.8
273,A&M-Corpus Christi (Southland),22.58,54.00,41.8
274,Bowling Green (MAC),27.85,66.62,41.8
275,DePaul (Big East),25.32,60.74,41.7
276,Oakland (Horizon),25.77,61.83,41.7
277,Lamar University (Southland),23.93,57.43,41.7
277,Kentucky (SEC),24.60,59.04,41.7
279,Presbyterian (Big South),22.68,54.50,41.6
280,ULM (Sun Belt),23.42,56.31,41.6
281,Eastern Mich. (MAC),24.89,59.83,41.6
282,Seattle U (WAC),25.78,62.00,41.6
283,High Point (Big South),23.50,56.54,41.6
284,San Diego (WCC),25.14,60.50,41.6
285,Texas A&M (SEC),22.28,53.67,41.5
286,South Carolina (SEC),26.95,64.95,41.5
287,LIU (NEC),26.61,64.17,41.5
288,Elon (CAA),23.63,57.05,41.4
289,Binghamton (America East),23.89,57.72,41.4
290,New Mexico (Mountain West),24.45,59.23,41.3
291,Sacred Heart (NEC),23.94,58.11,41.2
292,Stony Brook (America East),23.61,57.30,41.2
293,Kansas St. (Big 12),22.38,54.38,41.2
294,Towson (CAA),24.11,58.61,41.1
295,Washington St. (Pac-12),23.44,57.00,41.1
296,Portland (WCC),23.24,56.52,41.1
297,Coppin St. (MEAC),24.05,58.50,41.1
298,Butler (Big East),22.88,55.72,41.1
299,East Carolina (AAC),23.63,57.58,41
300,Wake Forest (ACC),22.77,55.55,41
301,William & Mary (CAA),22.82,55.76,40.9
302,UTRGV (WAC),25.05,61.26,40.9
303,App State (Sun Belt),23.79,58.21,40.9
304,Saint Joseph's (Atlantic 10),25.30,61.90,40.9
305,Canisius (MAAC),24.69,60.46,40.8
306,UT Arlington (Sun Belt),26.04,63.81,40.8
307,Penn St. (Big Ten),25.48,62.48,40.8
308,Niagara (MAAC),22.40,54.95,40.8
309,Charleston So. (Big South),22.86,56.29,40.6
310,Wichita St. (AAC),24.23,59.86,40.5
311,NJIT (America East),23.16,57.26,40.4
312,South Fla. (AAC),23.45,58.05,40.4
313,Western Ill. (Summit League),25.00,61.95,40.4
314,New Hampshire (America East),23.79,59.21,40.2
315,Quinnipiac (MAAC),22.95,57.18,40.1
316,Temple (AAC),21.75,54.25,40.1
317,Saint Peter's (MAAC),22.20,55.44,40
318,Alabama A&M (SWAC),23.13,57.87,40
319,UT Martin (OVC),23.17,58.04,39.9
320,Northern Ill. (MAC),24.00,60.16,39.9
321,Portland St. (Big Sky),24.18,60.68,39.9
322,Troy (Sun Belt),22.71,57.00,39.8
323,Fairfield (MAAC),21.48,53.93,39.8
324,Delaware St. (MEAC),24.63,62.26,39.6
325,Jackson St. (SWAC),22.06,55.78,39.5
326,Cal Poly (Big West),21.63,54.79,39.5
327,Southeastern La. (Southland),22.73,57.62,39.5
328,Alcorn (SWAC),22.89,58.26,39.3
329,Minnesota (Big Ten),24.28,61.86,39.2
330,San Jose St. (Mountain West),23.48,59.86,39.2
331,South Carolina St. (MEAC),22.28,57.39,38.8
332,Ark.-Pine Bluff (SWAC),20.96,54.24,38.6
333,Middle Tenn. (C-USA),22.22,57.52,38.6
334,Tulane (AAC),21.13,55.17,38.3
335,Maine (America East),19.11,50.22,38.1
336,Alabama St. (SWAC),21.28,56.06,38
337,Manhattan (MAAC),21.95,58.25,37.7
338,Chicago St. (WAC),20.00,55.22,36.2
339,Fordham (Atlantic 10),18.36,51.14,35.9
340,Mississippi Val. (SWAC),20.00,56.13,35.6
