Rank,Team,3FGPG,3FGAPG,3FG%
306,Prairie View (SWAC),6.62,21.76,30.4
307,San Diego (WCC),5.86,19.29,30.4
308,East Carolina (AAC),5.74,18.89,30.4
309,Coppin St. (MEAC),8.77,28.91,30.3
310,Alcorn (SWAC),5.95,19.79,30.1
311,Ole Miss (SEC),5.21,17.36,30
312,Texas A&M (SEC),6.50,21.72,29.9
313,Pacific (WCC),5.17,17.28,29.9
314,UNC Greensboro (SoCon),7.60,25.43,29.9
315,Duquesne (Atlantic 10),6.39,21.39,29.9
316,Tulane (AAC),6.57,22.04,29.8
317,Valparaiso (MVC),6.75,22.68,29.8
318,Canisius (MAAC),7.46,25.15,29.7
319,Kansas St. (Big 12),6.59,22.24,29.6
320,Stony Brook (America East),6.09,20.57,29.6
321,Miami (FL) (ACC),5.56,18.81,29.5
322,Saint Mary's (CA) (WCC),6.17,20.96,29.4
323,Portland St. (Big Sky),6.91,23.50,29.4
324,UTRGV (WAC),6.63,22.58,29.4
325,FGCU (ASUN),8.11,27.72,29.3
326,Southeastern La. (Southland),6.81,23.35,29.2
327,High Point (Big South),4.79,16.50,29
328,Alabama A&M (SWAC),5.53,19.07,29
329,Towson (CAA),5.00,17.28,28.9
330,Old Dominion (C-USA),4.91,17.04,28.8
331,Tennessee St. (OVC),6.00,20.87,28.8
332,LIU (NEC),7.44,25.94,28.7
333,William & Mary (CAA),5.76,20.12,28.7
334,Minnesota (Big Ten),7.14,25.17,28.4
335,Troy (Sun Belt),6.11,22.11,27.6
336,Texas Southern (SWAC),4.50,16.31,27.6
337,New Mexico (Mountain West),4.77,17.36,27.5
338,Fordham (Atlantic 10),5.64,21.00,26.9
339,Manhattan (MAAC),5.75,21.75,26.4
340,Chicago St. (WAC),5.67,22.56,25.1
