Rank,Team,OPP 3FGAPG,OPP 3FGPG,OPP 3FG%
260,Minnesota (Big Ten),18.83,6.62,35.2
261,SMU (AAC),22.41,7.88,35.2
262,Youngstown St. (Horizon),23.04,8.11,35.2
263,Ole Miss (SEC),19.32,6.82,35.3
264,Cal Poly (Big West),19.00,6.71,35.3
265,Rider (MAAC),22.65,8.00,35.3
266,Tennessee Tech (OVC),22.96,8.11,35.3
267,Saint Mary's (CA) (WCC),14.63,5.17,35.3
268,Rice (C-USA),21.89,7.75,35.4
269,Boston College (ACC),21.75,7.70,35.4
270,Northern Ky. (Horizon),21.20,7.52,35.5
271,High Point (Big South),24.54,8.71,35.5
272,Army West Point (Patriot),23.55,8.36,35.5
273,George Mason (Atlantic 10),20.73,7.36,35.5
274,Troy (Sun Belt),22.21,7.89,35.5
275,Holy Cross (Patriot),19.31,6.88,35.6
276,Duke (ACC),18.38,6.54,35.6
277,Delaware St. (MEAC),23.79,8.47,35.6
278,Miami (OH) (MAC),23.91,8.52,35.6
279,South Carolina St. (MEAC),20.89,7.44,35.6
280,Oklahoma (Big 12),23.15,8.26,35.7
281,UT Arlington (Sun Belt),21.23,7.58,35.7
282,Tulane (AAC),23.96,8.57,35.8
283,Howard (MEAC),27.40,9.80,35.8
284,Sacramento St. (Big Sky),19.15,6.85,35.8
285,Boston U. (Patriot),20.50,7.33,35.8
286,Southeastern La. (Southland),21.92,7.85,35.8
287,CSUN (Big West),23.36,8.36,35.8
288,Mississippi Val. (SWAC),24.08,8.63,35.8
289,Austin Peay (OVC),20.04,7.19,35.9
290,Marshall (C-USA),22.18,7.95,35.9
291,FIU (C-USA),18.69,6.73,36
292,Utah (Pac-12),20.32,7.32,36
293,Bucknell (Patriot),20.58,7.42,36
294,Col. of Charleston (CAA),21.89,7.89,36.1
295,McNeese (Southland),21.38,7.71,36.1
296,Western Caro. (SoCon),24.85,8.96,36.1
297,Southeast Mo. St. (OVC),19.56,7.07,36.2
298,Green Bay (Horizon),20.12,7.28,36.2
299,Arizona St. (Pac-12),21.20,7.68,36.2
300,Portland St. (Big Sky),17.41,6.32,36.3
301,Eastern Ill. (OVC),22.11,8.04,36.3
302,Western Ky. (C-USA),23.21,8.45,36.4
303,UNLV (Mountain West),23.59,8.59,36.4
304,Kansas St. (Big 12),21.93,8.00,36.5
305,ULM (Sun Belt),20.12,7.35,36.5
306,Seton Hall (Big East),20.04,7.33,36.6
307,Air Force (Mountain West),21.20,7.76,36.6
308,Notre Dame (ACC),23.00,8.42,36.6
309,Binghamton (America East),20.78,7.61,36.6
310,Lehigh (Patriot),20.20,7.40,36.6
311,South Carolina (SEC),21.62,7.95,36.8
312,Detroit Mercy (Horizon),25.32,9.32,36.8
313,Radford (Big South),22.33,8.22,36.8
314,UT Martin (OVC),23.42,8.63,36.8
315,Georgia Tech (ACC),19.73,7.27,36.8
316,Northern Ariz. (Big Sky),23.32,8.64,37
317,Bradley (MVC),24.39,9.04,37
318,Central Ark. (Southland),24.46,9.08,37.1
319,Eastern Mich. (MAC),25.28,9.39,37.1
320,Oakland (Horizon),27.60,10.30,37.3
321,California (Pac-12),17.52,6.55,37.4
322,Portland (WCC),25.90,9.71,37.5
323,Wake Forest (ACC),20.09,7.59,37.8
324,Miami (FL) (ACC),24.30,9.19,37.8
325,Milwaukee (Horizon),23.05,8.73,37.9
326,Idaho (Big Sky),20.77,7.91,38.1
327,St. Francis Brooklyn (NEC),20.16,7.68,38.1
328,Denver (Summit League),21.57,8.24,38.2
