Rank,Team,OPP FGPG,OPP FGAPG,OPP FG%
284,Rider (MAAC),26.13,56.48,46.3
285,St. John's (NY) (Big East),28.00,60.52,46.3
286,Detroit Mercy (Horizon),27.59,59.59,46.3
287,Iowa St. (Big 12),27.17,58.67,46.3
288,South Carolina (SEC),26.95,58.19,46.3
289,UIW (Southland),26.64,57.45,46.4
290,NJIT (America East),26.00,56.05,46.4
291,Penn St. (Big Ten),25.96,55.92,46.4
292,California (Pac-12),24.93,53.69,46.4
293,Butler (Big East),25.32,54.48,46.5
294,Western Caro. (SoCon),29.07,62.52,46.5
295,Omaha (Summit League),27.92,60.00,46.5
296,UC Davis (Big West),24.89,53.44,46.6
297,Fairleigh Dickinson (NEC),28.33,60.83,46.6
298,Northern Ill. (MAC),26.89,57.68,46.6
299,Holy Cross (Patriot),27.25,58.38,46.7
300,CSUN (Big West),27.32,58.36,46.8
301,Delaware St. (MEAC),29.16,62.26,46.8
302,Robert Morris (Horizon),27.74,59.21,46.8
303,Howard (MEAC),31.20,66.60,46.8
304,Lehigh (Patriot),27.47,58.60,46.9
305,Wake Forest (ACC),25.86,55.14,46.9
306,UNCW (CAA),27.24,58.06,46.9
307,Central Conn. St. (NEC),28.19,60.00,47
308,Houston Baptist (Southland),29.60,62.96,47
309,North Dakota (Summit League),27.50,58.42,47.1
310,Saint Joseph's (Atlantic 10),30.10,63.90,47.1
311,Boston U. (Patriot),27.50,58.33,47.1
312,Austin Peay (OVC),25.44,53.96,47.2
313,Middle Tenn. (C-USA),26.52,56.22,47.2
314,San Diego (WCC),27.71,58.71,47.2
315,USC Upstate (Big South),26.48,56.09,47.2
316,FIU (C-USA),27.88,59.04,47.2
317,Idaho (Big Sky),26.73,56.55,47.3
318,Western Ill. (Summit League),27.64,58.45,47.3
319,Northwestern St. (Southland),29.07,61.48,47.3
320,Green Bay (Horizon),27.80,58.72,47.3
321,Ark.-Pine Bluff (SWAC),27.20,57.36,47.4
322,Oakland (Horizon),30.63,64.57,47.4
323,IUPUI (Horizon),27.39,57.72,47.4
324,Cal St. Fullerton (Big West),29.19,61.38,47.6
325,Denver (Summit League),26.67,55.90,47.7
326,Wyoming (Mountain West),27.76,58.08,47.8
327,Eastern Mich. (MAC),28.11,58.72,47.9
328,Tennessee Tech (OVC),28.74,59.81,48
329,Southeastern La. (Southland),26.92,55.85,48.2
330,Sacramento St. (Big Sky),26.35,54.50,48.3
331,Mississippi Val. (SWAC),32.13,66.33,48.4
332,UT Martin (OVC),27.08,55.88,48.5
333,Alcorn (SWAC),25.42,52.21,48.7
334,South Carolina St. (MEAC),28.00,57.22,48.9
335,Boston College (ACC),29.65,60.40,49.1
336,Air Force (Mountain West),26.16,52.36,50
337,Northern Ariz. (Big Sky),26.50,52.91,50.1
338,Portland (WCC),31.48,62.62,50.3
339,Evansville (MVC),25.80,50.20,51.4
340,Chicago St. (WAC),32.78,62.00,52.9
