Rank,Team,AST,ASTPG,TO,TOPG,AST/TO Ratio
223,Saint Francis (PA) (NEC),282,12.82,312,14.18,0.90
224,Little Rock (Sun Belt),354,13.62,392,15.08,0.90
225,Loyola Maryland (Patriot),221,13.00,245,14.41,0.90
226,Southeast Mo. St. (OVC),374,13.85,415,15.37,0.90
227,North Dakota (Summit League),306,11.77,340,13.08,0.90
228,Kentucky (SEC),314,12.56,349,13.96,0.90
229,Austin Peay (OVC),357,13.22,397,14.70,0.90
230,Georgia (SEC),389,14.96,433,16.65,0.90
231,Northwestern St. (Southland),376,12.97,419,14.45,0.90
232,Miami (FL) (ACC),305,11.30,340,12.59,0.90
233,Eastern Mich. (MAC),198,11.00,221,12.28,0.90
234,Mount St. Mary's (NEC),266,11.57,297,12.91,0.90
235,Cal Poly (Big West),298,12.42,333,13.88,0.89
236,South Carolina (SEC),280,13.33,313,14.90,0.89
237,Quinnipiac (MAAC),279,12.68,313,14.23,0.89
238,Tennessee Tech (OVC),382,14.15,430,15.93,0.89
239,Indiana St. (MVC),267,10.68,302,12.08,0.88
240,La Salle (Atlantic 10),318,12.72,361,14.44,0.88
241,Montana St. (Big Sky),254,11.04,290,12.61,0.88
242,Kansas St. (Big 12),377,13.00,431,14.86,0.87
243,Ole Miss (SEC),342,12.21,392,14.00,0.87
244,Stony Brook (America East),278,12.09,319,13.87,0.87
245,Delaware (CAA),188,12.53,216,14.40,0.87
246,ETSU (SoCon),295,11.80,339,13.56,0.87
247,Iona (MAAC),245,13.61,282,15.67,0.87
248,Ga. Southern (Sun Belt),324,12.46,374,14.38,0.87
249,Southern U. (SWAC),267,14.05,309,16.26,0.86
250,North Florida (ASUN),297,12.91,344,14.96,0.86
251,Mississippi St. (SEC),429,13.00,498,15.09,0.86
252,Rhode Island (Atlantic 10),303,12.12,353,14.12,0.86
253,Marquette (Big East),333,12.33,388,14.37,0.86
254,Southern Miss. (C-USA),302,12.08,352,14.08,0.86
255,UIW (Southland),269,12.23,314,14.27,0.86
256,Portland (WCC),250,11.90,292,13.90,0.86
257,Louisiana (Sun Belt),332,12.77,388,14.92,0.86
258,NJIT (America East),181,9.53,212,11.16,0.85
259,Air Force (Mountain West),308,12.32,361,14.44,0.85
260,Houston Baptist (Southland),356,14.24,418,16.72,0.85
261,USC Upstate (Big South),276,12.00,325,14.13,0.85
262,UMBC (America East),219,10.95,258,12.90,0.85
263,Hawaii (Big West),246,11.71,291,13.86,0.85
264,New Mexico (Mountain West),277,12.59,328,14.91,0.84
265,Boston U. (Patriot),190,10.56,225,12.50,0.84
266,Fairleigh Dickinson (NEC),287,11.96,340,14.17,0.84
267,UNC Asheville (Big South),254,12.70,301,15.05,0.84
268,North Dakota St. (Summit League),285,10.56,338,12.52,0.84
269,Georgetown (Big East),333,12.81,395,15.19,0.84
270,UT Martin (OVC),289,12.04,343,14.29,0.84
271,Charlotte (C-USA),282,11.28,335,13.40,0.84
272,Wake Forest (ACC),252,11.45,300,13.64,0.84
273,Lamar University (Southland),332,11.86,396,14.14,0.84
274,UCF (AAC),285,12.39,340,14.78,0.84
275,Hartford (America East),264,11.00,315,13.13,0.84
276,Purdue Fort Wayne (Horizon),329,14.30,393,17.09,0.84
277,Boston College (ACC),230,11.50,275,13.75,0.84
278,George Washington (Atlantic 10),194,11.41,233,13.71,0.83
279,Morehead St. (OVC),397,12.81,477,15.39,0.83
280,Oklahoma St. (Big 12),385,12.83,467,15.57,0.82
281,N.C. Central (MEAC),169,12.07,205,14.64,0.82
282,Stanford (Pac-12),332,12.30,403,14.93,0.82
283,Manhattan (MAAC),237,11.85,288,14.40,0.82
284,Coppin St. (MEAC),286,13.00,348,15.82,0.82
285,Texas A&M (SEC),218,12.11,266,14.78,0.82
286,Fordham (Atlantic 10),153,10.93,187,13.36,0.82
287,South Fla. (AAC),251,11.41,308,14.00,0.81
288,Longwood (Big South),309,10.66,381,13.14,0.81
289,American (Patriot),128,12.80,158,15.80,0.81
290,SIUE (OVC),337,12.96,416,16.00,0.81
291,Portland St. (Big Sky),247,11.23,305,13.86,0.81
292,Denver (Summit League),251,11.95,311,14.81,0.81
293,San Jose St. (Mountain West),213,10.14,265,12.62,0.80
294,Western Mich. (MAC),245,11.67,305,14.52,0.80
295,UMass Lowell (America East),267,11.61,334,14.52,0.80
296,Central Mich. (MAC),246,10.70,308,13.39,0.80
297,Washington St. (Pac-12),328,12.15,411,15.22,0.80
298,LMU (CA) (WCC),280,12.73,351,15.95,0.80
299,Binghamton (America East),199,11.06,250,13.89,0.80
300,Saint Peter's (MAAC),293,11.72,371,14.84,0.79
301,Western Ill. (Summit League),225,10.23,285,12.95,0.79
302,William & Mary (CAA),183,10.76,232,13.65,0.79
303,Washington (Pac-12),280,10.77,355,13.65,0.79
304,Texas Southern (SWAC),314,12.08,399,15.35,0.79
305,Jacksonville (ASUN),269,11.21,343,14.29,0.78
306,Florida A&M (SWAC),265,13.25,338,16.90,0.78
307,Northern Ill. (MAC),204,10.74,261,13.74,0.78
308,Florida (SEC),293,11.72,375,15.00,0.78
309,Northern Colo. (Big Sky),242,11.00,311,14.14,0.78
310,Iowa St. (Big 12),278,11.58,358,14.92,0.78
311,Fairfield (MAAC),271,10.04,350,12.96,0.77
312,Central Ark. (Southland),322,13.42,419,17.46,0.77
313,A&M-Corpus Christi (Southland),308,12.83,401,16.71,0.77
314,Troy (Sun Belt),320,11.43,417,14.89,0.77
315,Kennesaw St. (ASUN),260,10.83,341,14.21,0.76
316,Idaho St. (Big Sky),273,11.38,359,14.96,0.76
317,Tennessee St. (OVC),268,11.65,353,15.35,0.76
318,Towson (CAA),170,9.44,224,12.44,0.76
