Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,3FGPG,3FGAPG,3FG%,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,ASTPG,TOPG,AST/TO Ratio
2017,Eastern Ky. (OVC),False,31,12,19,38.7,32.9,37.3,-4.4,24.193548387096776,56.516129032258064,42.8,25.322580645161292,57.096774193548384,44.4,7.580645161290323,23.64516129032258,32.1,7.225806451612903,20.64516129032258,35.0,14.903225806451612,21.129032258064516,70.5,70.9,75.2,-4.3,13.774193548387096,13.935483870967742,0.99
2017,Nebraska (Big Ten),True,31,12,19,38.7,38.3,36.3,2.0,25.580645161290324,61.483870967741936,41.6,25.967741935483872,58.064516129032256,44.7,5.774193548387097,18.06451612903226,32.0,7.741935483870968,19.387096774193548,39.9,13.0,18.322580645161292,71.0,69.9,73.0,-3.1,11.419354838709678,13.258064516129032,0.86
2017,Youngstown St. (Horizon),False,34,13,21,38.2,36.6,40.6,-4.0,28.852941176470587,65.58823529411765,44.0,30.41176470588235,65.8529411764706,46.2,7.352941176470588,22.058823529411764,33.3,8.235294117647058,23.823529411764707,34.6,11.882352941176471,17.676470588235293,67.2,76.9,82.3,-5.4,15.088235294117647,11.941176470588236,1.26
2017,Northern Colo. (Big Sky),False,29,11,18,37.9,37.1,36.1,0.9,25.24137931034483,57.41379310344828,44.0,26.310344827586206,57.827586206896555,45.5,8.758620689655173,25.379310344827587,34.5,7.655172413793103,21.75862068965517,35.2,12.310344827586206,20.379310344827587,60.4,71.6,74.7,-3.2,13.517241379310345,14.03448275862069,0.96
2017,Binghamton (America East),False,32,12,20,37.5,33.0,34.9,-1.9,24.0,54.90625,43.7,25.46875,56.65625,45.0,7.75,21.40625,36.2,7.75,21.46875,36.1,12.21875,17.34375,70.5,68.0,70.9,-3.0,12.8125,12.40625,1.03
2017,Bryant (NEC),False,32,12,20,37.5,35.9,36.8,-0.9,26.21875,59.9375,43.7,26.875,59.5,45.2,7.40625,21.9375,33.8,7.3125,22.0,33.2,14.3125,19.875,72.0,74.2,77.4,-3.3,14.375,13.375,1.07
2017,Tennessee Tech (OVC),False,32,12,20,37.5,36.3,36.8,-0.5,24.5625,58.34375,42.1,24.625,57.0625,43.2,7.53125,23.21875,32.4,7.78125,22.8125,34.1,15.75,22.25,70.8,72.4,73.1,-0.7,13.90625,13.5625,1.03
2017,Fairleigh Dickinson (NEC),False,30,11,19,36.7,33.0,36.8,-3.9,25.133333333333333,57.1,44.0,25.633333333333333,56.8,45.1,6.7,20.2,33.2,6.733333333333333,19.7,34.2,15.8,20.666666666666668,76.5,72.8,75.0,-2.2,12.2,13.3,0.92
2017,CSUN (Big West),False,30,11,19,36.7,35.0,36.6,-1.6,26.866666666666667,58.233333333333334,46.1,28.066666666666666,61.06666666666667,46.0,4.833333333333333,13.833333333333334,34.9,6.966666666666667,18.033333333333335,38.6,19.466666666666665,26.7,72.9,78.0,81.3,-3.3,13.7,13.3,1.03
2017,Austin Peay (OVC),False,30,11,19,36.7,30.4,37.4,-7.0,26.866666666666667,57.266666666666666,46.9,30.733333333333334,62.56666666666667,49.1,7.566666666666666,21.333333333333332,35.5,8.8,23.8,37.0,16.4,23.166666666666668,70.8,77.7,83.8,-6.1,10.8,12.433333333333334,0.87
