Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
330,St. Francis Brooklyn (NEC),31,4-27,795,"1,677",47.4
331,Jacksonville (ASUN),33,17-16,882,"1,858",47.5
332,Longwood (Big South),30,6-24,874,"1,833",47.7
333,UNCW (CAA),35,29-6,938,"1,964",47.8
334,Southern Utah (Big Sky),33,6-27,917,"1,920",47.8
335,Southeast Mo. St. (OVC),33,15-18,857,"1,794",47.8
336,Arizona St. (Pac-12),33,15-18,978,"2,041",47.9
337,Portland St. (Big Sky),31,15-16,900,"1,873",48.1
338,Idaho St. (Big Sky),31,5-26,879,"1,827",48.1
339,VMI (SoCon),30,6-24,826,"1,709",48.3
340,South Carolina St. (MEAC),31,11-20,886,"1,832",48.4
341,Pepperdine (WCC),31,9-22,910,"1,875",48.5
342,Canisius (MAAC),34,18-16,962,"1,976",48.7
343,Mississippi Val. (SWAC),32,7-25,935,"1,910",49
344,Austin Peay (OVC),30,11-19,922,"1,877",49.1
345,Brown (Ivy League),30,13-17,832,"1,669",49.9
346,Detroit Mercy (Horizon),31,8-23,894,"1,789",50
347,The Citadel (SoCon),33,12-21,"1,106","2,162",51.2
