Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
337,Southern Miss. (C-USA),33,26-Jul,"2,126",64.4,"2,471",74.9,-10.5
338,William & Mary (CAA),32,27-May,"2,044",63.9,"2,380",74.4,-10.5
339,Delaware St. (MEAC),28,26-Feb,"1,757",62.8,"2,058",73.5,-10.8
340,Central Mich. (MAC),30,23-Jul,"1,978",65.9,"2,309",77,-11
341,Columbia (Ivy League),26,22-Apr,"1,752",67.4,"2,049",78.8,-11.4
342,Evansville (MVC),30,24-Jun,"1,775",59.2,"2,122",70.7,-11.6
343,Lamar University (WAC),29,27-Feb,"1,778",61.3,"2,116",73,-11.7
344,Fairleigh Dickinson (NEC),26,22-Apr,"1,748",67.2,"2,058",79.2,-11.9
345,Ark.-Pine Bluff (SWAC),31,24-Jul,"2,055",66.3,"2,426",78.3,-12
346,Chicago St. (WAC),32,25-Jul,"1,987",62.1,"2,380",74.4,-12.3
347,Omaha (Summit League),30,25-May,"2,088",69.6,"2,505",83.5,-13.9
348,IUPUI (Horizon),29,26-Mar,"1,521",52.4,"1,947",67.1,-14.7
349,Eastern Ill. (OVC),31,26-May,"1,746",56.3,"2,205",71.1,-14.8
350,Mississippi Val. (SWAC),28,26-Feb,"1,882",67.2,"2,323",83,-15.8
