Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,ASTPG,TOPG,AST/TO Ratio,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,3FGPG,3FGAPG,3FG%
2014,Lipscomb (ASUN),False,30,15,15,50.0,33.0,37.5,-4.4,24.233333333333334,56.06666666666667,43.2,26.066666666666666,55.4,47.1,14.033333333333333,12.533333333333333,1.12,7.833333333333333,22.166666666666668,35.3,18.233333333333334,26.666666666666668,68.4,75.9,78.5,-2.6,9.166666666666666,25.9,35.4
2014,CSUN (Big West),False,35,17,18,48.6,35.6,33.0,2.6,25.37142857142857,55.857142857142854,45.4,26.4,58.08571428571429,45.5,13.457142857142857,12.771428571428572,1.05,7.6571428571428575,21.97142857142857,34.9,21.857142857142858,27.62857142857143,79.1,76.8,77.5,-0.7,,,
2014,Mount St. Mary's (NEC),False,33,16,17,48.5,31.9,36.6,-4.7,25.545454545454547,58.27272727272727,43.8,29.09090909090909,58.75757575757576,49.5,11.787878787878787,11.757575757575758,1.0,4.696969696969697,14.06060606060606,33.4,15.818181818181818,21.393939393939394,73.9,75.9,77.8,-1.9,8.969696969696969,25.272727272727273,35.5
2014,Georgia Tech (ACC),True,33,16,17,48.5,36.0,33.2,2.7,24.12121212121212,55.96969696969697,43.1,23.060606060606062,55.0,41.9,13.151515151515152,12.090909090909092,1.09,5.96969696969697,18.0,33.2,13.181818181818182,19.272727272727273,68.4,66.7,66.8,-0.1,5.242424242424242,16.636363636363637,31.5
2014,La Salle (Atlantic 10),False,31,15,16,48.4,35.5,35.5,0.0,23.225806451612904,56.225806451612904,41.3,24.903225806451612,57.16129032258065,43.6,12.419354838709678,11.612903225806452,1.07,5.193548387096774,15.67741935483871,33.1,15.580645161290322,22.0,70.8,67.7,68.4,-0.6,5.709677419354839,17.548387096774192,32.5
2014,Vanderbilt (SEC),True,31,15,16,48.4,34.5,36.1,-1.6,22.225806451612904,51.54838709677419,43.1,23.29032258064516,57.32258064516129,40.6,13.03225806451613,13.35483870967742,0.98,5.838709677419355,19.193548387096776,30.4,13.96774193548387,21.225806451612904,65.8,64.6,65.5,-1.0,6.161290322580645,19.322580645161292,31.9
2014,FIU (C-USA),False,31,15,16,48.4,36.1,34.5,1.5,24.322580645161292,54.225806451612904,44.9,24.70967741935484,57.41935483870968,43.0,10.838709677419354,14.064516129032258,0.77,6.096774193548387,18.677419354838708,32.6,15.096774193548388,22.516129032258064,67.0,68.6,70.0,-1.4,,,
2014,Eastern Wash. (Big Sky),False,31,15,16,48.4,36.5,35.1,1.5,26.225806451612904,57.774193548387096,45.4,26.096774193548388,58.54838709677419,44.6,13.451612903225806,12.03225806451613,1.12,6.451612903225806,18.70967741935484,34.5,15.64516129032258,22.580645161290324,69.3,76.2,75.1,1.1,8.096774193548388,21.838709677419356,37.1
2014,Drake (MVC),False,31,15,16,48.4,32.5,31.5,1.0,23.225806451612904,51.354838709677416,45.2,23.677419354838708,53.12903225806452,44.6,12.741935483870968,11.935483870967742,1.07,6.645161290322581,19.322580645161292,34.4,14.096774193548388,19.741935483870968,71.4,68.3,68.2,0.0,7.709677419354839,19.451612903225808,39.6
2014,Morgan St. (MEAC),False,31,15,16,48.4,38.4,37.9,0.5,25.806451612903224,60.29032258064516,42.8,24.64516129032258,56.806451612903224,43.4,12.709677419354838,13.0,0.98,5.935483870967742,16.677419354838708,35.6,15.32258064516129,25.032258064516128,61.2,71.5,72.2,-0.8,,,
2014,Pepperdine (WCC),False,31,15,16,48.4,34.7,34.5,0.2,24.93548387096774,54.87096774193548,45.4,25.387096774193548,57.83870967741935,43.9,13.806451612903226,12.225806451612904,1.13,6.935483870967742,18.903225806451612,36.7,14.935483870967742,21.322580645161292,70.0,71.2,72.5,-1.3,6.354838709677419,17.774193548387096,35.8
2014,Portland (WCC),False,31,15,16,48.4,36.0,33.5,2.5,26.129032258064516,57.354838709677416,45.6,24.096774193548388,55.96774193548387,43.1,15.225806451612904,11.806451612903226,1.29,6.709677419354839,18.161290322580644,36.9,16.64516129032258,22.64516129032258,73.5,75.1,72.0,3.0,6.161290322580645,15.64516129032258,39.4
2014,Army West Point (Patriot),False,31,15,16,48.4,33.6,35.1,-1.5,25.838709677419356,58.193548387096776,44.4,26.032258064516128,56.61290322580645,46.0,14.064516129032258,12.935483870967742,1.09,6.709677419354839,17.451612903225808,38.4,13.096774193548388,18.70967741935484,70.0,72.4,73.2,-0.8,7.612903225806452,22.483870967741936,33.9
2014,Nicholls (Southland),False,29,14,15,48.3,31.7,34.6,-2.8,24.413793103448278,55.0,44.4,23.344827586206897,50.10344827586207,46.6,13.241379310344827,12.10344827586207,1.09,4.896551724137931,14.379310344827585,34.1,13.517241379310345,21.344827586206897,63.3,68.5,72.9,-4.4,6.137931034482759,20.06896551724138,30.6
2014,Penn St. (Big Ten),True,34,16,18,47.1,35.2,34.5,0.7,24.11764705882353,56.3235294117647,42.8,22.441176470588236,54.205882352941174,41.4,11.294117647058824,10.617647058823529,1.06,6.852941176470588,19.470588235294116,35.2,16.441176470588236,22.176470588235293,74.1,70.9,70.2,0.6,6.176470588235294,19.38235294117647,31.9
2014,Idaho (WAC),False,34,16,18,47.1,34.1,33.9,0.3,24.5,54.85294117647059,44.7,26.264705882352942,56.911764705882355,46.1,11.294117647058824,11.411764705882353,0.99,6.205882352941177,18.470588235294116,33.6,17.029411764705884,24.764705882352942,68.8,72.4,74.6,-2.2,6.352941176470588,17.88235294117647,35.5
